cycle,file name,max alpha_eff,minimum Tafel slope,charge[mC],normalized charge
54,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_45.csv,0.7546268775679987,0.07817841634864896,17.962038685208547,0.5167631624273161
57,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_48.csv,0.7609307009579078,0.0775344537349013,17.64823895254219,0.5077352260631077
60,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_51.csv,0.7442653168562412,0.07926579059823295,17.87750796548792,0.5143312356950204
63,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_54.csv,0.7331211185008354,0.08047234711384299,17.84022207330091,0.5132585303135122
66,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_57.csv,0.7345898819164662,0.08032062543983284,17.58211565488708,0.5058328760567848
69,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_60.csv,0.7271511628992031,0.0811292277251276,17.73396292949206,0.5102014824942855
72,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_63.csv,0.7232353096317199,0.08157470189983834,17.52751417742147,0.5042620058085447
75,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_66.csv,0.7224189375690343,0.08166606929587841,17.42109227541824,0.5012002754785679
78,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_69.csv,0.7139612624429166,0.0826284934035971,17.494600674290474,0.503315092918387
81,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_72.csv,0.7003181783942093,0.08424446834726436,17.466783090758085,0.50251478830435
84,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_75.csv,0.6979575366611007,0.08452585495455378,17.318384122732446,0.4982453887466579
87,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_78.csv,0.6940890919231018,0.0849964862944115,17.20847342111946,0.4950832865629618
90,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_81.csv,0.693262766236464,0.08509127511094335,16.972807810944744,0.4883032484991569
93,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_84.csv,0.6788536195102867,0.0869097854359684,17.116306199062524,0.4924316596526209
96,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_87.csv,0.6755626341137991,0.087333572573562,16.963063278018275,0.48802290083151684
99,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_90.csv,0.6691679549365112,0.08816471960606882,16.959620270472556,0.4879238464035219
102,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_93.csv,0.6663845618917629,0.08852191832142381,16.99342324339395,0.48889634910727614
105,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_96.csv,0.665293401314037,0.08868983429304693,16.92092680797213,0.48681064559166476
108,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_99.csv,0.6625898446066363,0.08904433977336937,16.993224970490154,0.48889064484761025
111,workspace_calculate_alpha_eff/20221101_1-115_003_TrumpetPlot_ParaChange_from10_every3_16_CV_C01_102.csv,0.6697029448799935,0.08809927223913873,16.835122318321687,0.48434207283111624
